ParcelId,Units,StreetLow,StreetHigh,StreetName,Neighbourhood,ZipCode,LAT,LONG
302990010,1,0,0,Atlantic,Boston,2127,42.359452,-71.050754
600001001,1,0,0,Dorchester,South Boston,2127,42.345157,-71.057368
600001002,1,63,63,Dorchester,South Boston,2127,42.34477,-71.0575
600001003,1,0,0,Foundry,South Boston,2127,42.344623,-71.058112
600002000,1,0,0,W Fourth,South Boston,2127,42.343483,-71.059864
600002001,1,71,75,Foundry,South Boston,2127,42.343196,-71.058607
600004010,1,0,0,W Fourth,Roxbury,2127,42.339605,-71.060928
600005000,1,0,0,W Fourth,Roxbury,2127,42.339369,-71.059815
600005001,2,163,163,Dorchester,South Boston,2127,42.340364,-71.058338
600005100,1,0,0,Dorchester,South Boston,2127,42.338307,-71.057998
600006001,1,0,0,Widett,Roxbury,2127,42.335748,-71.060751
600006010,1,0,0,Widett,Roxbury,2127,42.336684,-71.060432
600007010,148,141,141,Dorchester,South Boston,2127,42.342463,-71.058022
600007012,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007014,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007016,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007018,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007020,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007022,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007024,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007026,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007028,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007030,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007032,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007034,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007036,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007038,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007040,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007042,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007044,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007046,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007048,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007050,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007052,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007054,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007056,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007058,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007060,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007062,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007064,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007066,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007068,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007070,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007072,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007074,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007076,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007078,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007080,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007082,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007084,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007086,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007088,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007090,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007092,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007094,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007096,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007098,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007100,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007102,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007104,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007106,1,9,9,W,South Boston,2127,42.34252,-71.05691
600007108,1,9,9,W,South Boston,2127,42.34252,-71.05691
